Date,Soybean_price_USD_ton
2015-01-01,509.93428306022463
2015-02-01,497.2347139765763
2015-03-01,512.9537707620138
2015-04-01,530.4605971281605
2015-05-01,495.31693250553326
2015-06-01,495.3172608610164
2015-07-01,531.5842563101478
2015-08-01,515.3486945830582
2015-09-01,490.61051228130094
2015-10-01,510.8512008717193
2015-11-01,490.73164614375077
2015-12-01,490.68540492859483
2016-01-01,504.8392454313207
2016-02-01,461.73439510684403
2016-03-01,465.50164334973937
2016-04-01,488.75424941518054
2016-05-01,479.74337759331155
2016-06-01,506.2849466519055
2016-07-01,481.83951848957577
2016-08-01,471.75392597329414
2016-09-01,529.3129753784311
2016-10-01,495.4844739902693
2016-11-01,501.35056409375846
2016-12-01,471.50503627573084
2017-01-01,489.1123455094963
2017-02-01,502.21845179419734
2017-03-01,476.9801284515539
2017-04-01,507.51396036691347
2017-05-01,487.9872262016239
2017-06-01,494.16612500413447
2017-07-01,487.96586775541203
2017-08-01,537.0455636901787
2017-09-01,499.7300555052413
2017-10-01,478.84578142088196
2017-11-01,516.4508982420638
2017-12-01,475.58312700057957
2018-01-01,504.1772719000951
2018-02-01,460.8065975224045
2018-03-01,473.4362790220314
2018-04-01,503.9372247173825
2018-05-01,514.7693315999082
2018-06-01,503.4273656237994
2018-07-01,497.6870343522352
2018-08-01,493.97792608821425
2018-09-01,470.4295601926515
2018-10-01,485.6031158321058
2018-11-01,490.78722458080426
2018-12-01,521.1424445243783
2019-01-01,506.87236579136925
2019-02-01,464.7391968927453
2019-03-01,506.4816793878959
2019-04-01,492.2983543916737
2019-05-01,486.4615599938808
2019-06-01,512.2335257768174
2019-07-01,520.619990449919
2019-08-01,518.625602382324
2019-09-01,483.21564953554724
2019-10-01,493.8157524829757
2019-11-01,506.6252686280713
2019-12-01,519.5109025424472
2020-01-01,490.4165152430942
2020-02-01,496.28682046672367
2020-03-01,477.8733005198794
2020-04-01,476.0758675183866
2020-05-01,516.2505164478839
2020-06-01,527.1248005714165
2020-07-01,498.5597975683933
2020-08-01,520.0706579578405
2020-09-01,507.23272050095267
2020-10-01,487.0976049078975
2020-11-01,507.2279121101683
2020-12-01,530.7607313293194
2021-01-01,499.28347921780096
2021-02-01,531.2928731162801
2021-03-01,447.6050979182051
2021-04-01,516.4380500875045
2021-05-01,501.74094136476344
2021-06-01,494.01985299068264
2021-07-01,501.83521553071006
2021-08-01,460.2486217079821
2021-09-01,495.60656224324975
2021-10-01,507.1422514302349
2021-11-01,529.5578808948303
2021-12-01,489.63459563452705
2022-01-01,483.83012794213624
2022-02-01,489.9648591283093
2022-03-01,518.3080423540415
2022-04-01,506.5750221931937
2022-05-01,489.4047959246592
2022-06-01,510.2653486622671
2022-07-01,501.9415509869608
2022-08-01,519.3728998106578
2022-09-01,485.95893812245293
2022-10-01,493.44675706804463
2022-11-01,492.1578369373568
2022-12-01,470.72970103735764
2023-01-01,505.92240554129154
2023-02-01,505.22110544359776
2023-03-01,500.10226913284924
2023-04-01,495.3082573324971
2023-05-01,471.69258515899173
2023-06-01,491.58709354469283
2023-07-01,493.1457096694646
2023-08-01,483.9544546155676
2023-09-01,496.77428576667984
2023-10-01,508.08101713629077
2023-11-01,537.7237180242106
2023-12-01,503.4915562566368
2024-01-01,505.1510078144553
2024-02-01,498.51108168467664
2024-03-01,461.6245756940192
2024-04-01,499.46972249101566
2024-05-01,501.2046041988205
2024-06-01,549.2648422497057
2024-07-01,496.15278070437756
2024-08-01,506.03094684667224
2024-09-01,499.30576460589515
2024-10-01,476.62643924760937
